abund,Present,clDD,clFD,clTmi,clTma,clTmn,clP,NDVI,broadleaf,conif,grass,crop,urban,wetland
2.8,Absent,5653.65,70.8,9.7,31.3,15.47260274,147.69,-51,0.834920635,0.063492063,0,0.031746032,0,0
0,Present,6296.5,53.4,11.6,32.7,17.22986301,135.81,-52,0.365930599,0.615141956,0,0.006309148,0,0
1.2,Absent,6493.5,48.3,12.6,33.3,17.75315068,135.51,-53,0.279874214,0.371069182,0,0.349056604,0,0
0,Present,6677.45,38,13.4,33.1,18.27753425,138.49,-63,0.146031746,0.4,0,0.453968254,0,0
0,Present,6179.9,58,12.4,32.5,16.91041096,138.86,-68,0.006410256,0.961538462,0,0.025641026,0.003205128,0
0,Present,6738.25,41.5,14.3,33.3,18.42739726,149.56,-63,0,0.990415335,0,0.003194888,0.006389776,0
0,Present,5797.25,68.8,9.7,31.9,15.85780822,142.54,-44,0.738170347,0.110410095,0,0.135646688,0,0
0,Present,6338.95,51.5,11.6,33,17.33780822,137.65,-49,0.54313099,0.453674121,0,0.003194888,0,0
0.4,Absent,6177.95,56.5,11.4,32.3,16.90547945,138.27,-58,0.387301587,0.288888889,0,0.253968254,0.06031746,0
0,Present,6461.45,48.2,13.1,32.9,17.66931507,138.22,-62,0.015873016,0.39047619,0,0.593650794,0,0
0,Present,6944.4,30.1,14.9,33,19.00054795,159.84,-72,0,0.930379747,0,0.069620253,0,0
0,Present,7174.65,20,15.3,33,19.64821918,161.47,-78,0,0.861736334,0,0.138263666,0,0
3.6,Absent,5601.95,78.7,9,32.1,15.32684932,140.78,-60,0.980830671,0.003194888,0,0.012779553,0,0
0,Present,5653.65,70.8,9.7,31.3,15.47260274,147.69,-50,0.576433121,0.372611465,0,0.022292994,0,0
0.4,Absent,5940.35,66.1,10.1,32.7,16.25808219,140.13,-53,0.848874598,0.131832797,0,0.003215434,0,0
0,Present,6002.65,61.6,11.3,32.2,16.42054795,144.05,-52,0.388535032,0.563694268,0,0.025477707,0,0
0,Present,6563.4,44.5,13.4,33.1,17.96109589,134,-62,0.003164557,0.481012658,0,0.515822785,0,0
0,Present,6738.25,41.5,14.3,33.3,18.42739726,149.56,-63,0,1,0,0,0,0
0,Present,6708.5,39.2,14.1,33.2,18.35890411,143.07,-63,0,0.92971246,0,0.07028754,0,0
0,Present,7281.95,20.6,16.2,33.1,19.93780822,149.56,-71,0.006349206,0.326984127,0,0.60952381,0,0
0,Present,7168.6,20.1,15.2,32.8,19.62328767,162.89,-80,0,0.948717949,0,0.041666667,0.009615385,0
0.4,Absent,6410.65,52.7,11.5,33.7,17.54712329,134.82,-53,0,0,0.436708861,0,0,0
52.6,Absent,6418.55,52.8,11.2,33.7,17.57260274,136.03,-52,0,0,0.063492063,0.088888889,0,0
4.4,Absent,6400.4,53.6,11.4,34,17.51452055,131.91,-49,0,0,0.731629393,0,0,0
0.6,Absent,6486.7,49.5,12,34,17.74657534,129.16,-46,0,0,0.069400631,0,0,0
10.4,Absent,6364.2,55.9,11.5,34,17.40657534,129.8,-46,0.009646302,0.604501608,0.035369775,0.028938907,0,0
52,Absent,6288.4,59.8,11.4,34,17.20767123,126.46,-49,0,0.53968254,0,0,0,0
4.8,Absent,6274.7,57.9,10.8,33.9,17.16630137,130.72,-52,0,0.003205128,0.038461538,0.006410256,0,0
0,Present,6177.05,59.8,10.8,33.7,16.91506849,131.66,-48,0.006451613,0.825806452,0,0.151612903,0.016129032,0
0,Present,5642.9,80,9.4,32.8,15.44328767,128.08,-45,0.070512821,0,0,0.903846154,0.012820513,0
197.6,Absent,5839.9,73,8.6,33.6,15.97041096,125.52,-62,0.103559871,0.605177994,0,0.281553398,0,0
32.4,Absent,5777.7,75.2,8.3,33.9,15.81260274,123.15,-58,0.045602606,0.882736156,0,0.019543974,0.006514658,0
0,Present,5471.55,83.9,8.5,32.7,14.96958904,117.38,-49,0.31511254,0.517684887,0,0.099678457,0.025723473,0
11.2,Absent,5584.15,81.2,8.6,33,15.29479452,118.28,-61,0.208469055,0.182410423,0.003257329,0.517915309,0.009771987,0
10.2,Absent,5930.65,71.6,9.6,34,16.22739726,115.29,-62,0.357142857,0.568181818,0,0.055194805,0,0
0.8,Absent,5401.5,85.3,8.4,32.5,14.77753425,116.19,-36,0.3,0.609677419,0,0.032258065,0,0
13.4,Absent,5485.6,84.5,7.7,33.2,15.01232877,115.56,-60,0.481848185,0.336633663,0,0.02640264,0,0
2.4,Absent,5357.95,86.1,7.9,32.6,14.6709589,112.55,-39,0.006410256,0.012820513,0.028846154,0.701923077,0.012820513,0
35.4,Absent,6023.75,66.2,9.2,33.7,16.48657534,127.37,-50,0.689542484,0.003267974,0,0.27124183,0,0
0,Present,6085.15,63.8,10.1,33.8,16.64219178,125.54,-56,1,0,0,0,0,0
39,Absent,5776.5,74.7,8.1,33.2,15.81342466,121.26,-54,0.533762058,0.128617363,0,0.057877814,0,0
0.4,Absent,3463.2,166.8,4.3,31.6,9.471506849,34.25,-110,0,0,0,0,0,0
1.8,Absent,3687.5,163.7,4.6,32.6,10.09013699,41.88,-76,0,0,0.646864686,0.353135314,0,0
1.2,Absent,3815.15,156.9,5.1,32.6,10.43150685,38.52,-110,0.251612903,0.616129032,0.064516129,0.029032258,0,0
0,Present,3911.2,156.6,6.3,32.4,10.69479452,32.72,-104,0.38410596,0.01986755,0.476821192,0,0,0
0,Present,4002.75,149.8,8.2,30.8,10.94986301,36.68,-57,0,0.006802721,0.714285714,0.278911565,0,0
0.4,Absent,4210.05,154.7,8.1,33.1,11.51342466,40.02,-96,0.478688525,0.514754098,0,0.003278689,0,0
13.2,Absent,3797.4,161.9,4.7,33,10.3830137,43.4,-61,0.01986755,0.516556291,0.033112583,0.132450331,0,0
0.6,Absent,4078.4,159.7,6.2,34,11.17369863,36.38,-63,0.294314381,0.685618729,0,0,0,0
0.6,Absent,3514,167.6,3.8,32.2,9.614794521,33.04,-75,0.266447368,0.384868421,0.246710526,0.095394737,0,0
1,Absent,4927.95,96.7,6.1,31.2,13.48438356,109.29,-43,0.996794872,0,0,0,0,0
0.2,Absent,4738.55,98.4,5.2,30.4,12.95315068,108.06,-39,0.974683544,0,0,0,0,0
0.4,Absent,4674.55,105.6,5.2,30.7,12.79424658,108.36,-57,0.993670886,0,0,0,0,0
0,Present,7146.3,20.3,15.3,32.7,19.54136986,161.71,-75,0.031746032,0,0,0.853968254,0,0
0,Present,6643.75,43,14.4,33.1,18.18520548,133.67,-76,0,0.050632911,0.21835443,0.721518987,0,0.009493671
0,Present,5588.1,74.1,9.7,30.8,15.29726027,140.1,-96,0,0,0.003184713,0.987261146,0.006369427,0
0,Present,6099.05,66.3,12.4,33,16.6890411,117.33,-75,0,0.961414791,0,0.038585209,0,0
0,Present,5657.25,73.8,10.7,31.1,15.47835616,141.91,-55,0.003194888,0.380191693,0,0.603833866,0.012779553,0
0,Present,6654.7,42.9,14,33.2,18.2109589,129.43,-74,0.003154574,0.217665615,0,0.776025237,0.003154574,0
0,Present,5357,83.7,10.1,30.8,14.65561644,161.18,-63,0.03164557,0.620253165,0,0.348101266,0,0
0.4,Absent,6033.4,57.5,11.1,31.9,16.50520548,127.07,-62,0,0.038095238,0,0.955555556,0,0
0,Present,6299.35,53.9,12.5,32.8,17.23780822,118.82,-64,0.059936909,0.602523659,0,0.119873817,0.015772871,0
0,Present,6088.2,64,12.1,32.8,16.66356164,121.61,-64,0,0.025723473,0,0.974276527,0,0
0,Present,6426.7,54.2,13.8,33.4,17.57835616,114.58,-75,0,0.55483871,0,0.419354839,0.025806452,0
0.4,Absent,6526.7,49,14.4,33.4,17.85205479,114.32,-70,0,0.825806452,0,0.170967742,0.003225806,0
0,Present,5836.95,63.3,10.6,31.3,15.97068493,134.95,-71,0,0.86031746,0,0.114285714,0,0
1.6,Absent,3062.3,151.7,-3.2,28.7,8.389589041,89.95,-63,0,0.216393443,0.22295082,0,0,0
0.2,Absent,3063.7,151.8,-2.9,28.9,8.389589041,89.02,-70,0,0.006451613,0.183870968,0.006451613,0,0
30.4,Absent,3586.45,137.1,-1.8,29.8,9.813150685,93.97,-48,0.009646302,0.961414791,0.028938907,0,0,0
9.8,Absent,3586.45,137.1,-1.8,29.8,9.813150685,93.97,-53,0.122516556,0.036423841,0.367549669,0.092715232,0,0
8.2,Absent,3533.2,138,-2,29.6,9.671780822,93.62,-46,0,0,0,0,0,0
26.8,Absent,3533.2,138,-2,29.6,9.671780822,93.62,-46,0.038461538,0.019230769,0.586538462,0.003205128,0,0
0.4,Absent,3340.45,144.1,-2.4,29.1,9.139452055,91.16,-57,0.151815182,0.01980198,0.815181518,0,0,0
4.8,Absent,3647,134.7,-1.4,29.5,9.979178082,91.42,-46,0,0,0,0.947019868,0.003311258,0
0.4,Absent,3405.1,140.4,-1.7,29,9.320547945,92.65,-100,0,0.006578947,0,0.927631579,0.042763158,0
2.8,Absent,3370.5,142.9,-2.2,29.1,9.213424658,91.43,-80,0,0,0,1,0,0
6.4,Absent,3638.85,133.4,-1.1,29.1,9.95260274,91.75,-55,0,0,0,0.980263158,0.019736842,0
11.8,Absent,4063.2,132,0.6,31.2,11.11123288,95.79,-38,0,0,0,0.97689769,0.00660066,0
49.4,Absent,3942.9,127.9,-0.1,30.5,10.80246575,96.65,-49,0,0,0,0.986842105,0.006578947,0
18.6,Absent,3821.35,133.2,-0.3,30.6,10.46109589,94.83,-40,0,0,0,1,0,0
18.8,Absent,3789.45,131.7,-0.9,30.1,10.37780822,93.91,-53,0,0,0,0.944983819,0.055016181,0
9.8,Absent,3821.35,133.2,-0.3,30.6,10.46109589,94.83,-46,0,0.082236842,0.134868421,0.529605263,0.213815789,0
4.4,Absent,3782.3,131.8,-1.1,29.8,10.34575342,92.35,-37,0,0,0,1,0,0
11.2,Absent,3743.95,133.3,-1.2,30.1,10.24465753,92.62,-43,0,0.00330033,0,0.920792079,0.00990099,0
2.4,Absent,3730.45,133.1,-1.1,29.8,10.19534247,92.05,-42,0,0,0,0.907894737,0,0
17.4,Absent,3957.6,125.9,-0.1,30.1,10.83452055,95.99,-43,0.009615385,0,0,0.916666667,0,0
1.4,Absent,3730.45,133.1,-1.1,29.8,10.19534247,92.05,-48,0,0,0,0.790697674,0.003322259,0
26.4,Absent,4053.6,125.9,0.8,30.4,11.09315068,97.25,-50,0,0,0,0.96345515,0,0
27,Absent,4420.7,114.5,2.2,31.1,12.10739726,93.54,-46,0,0,0,0.96039604,0.00330033,0
15.2,Absent,4053.6,125.9,0.8,30.4,11.09315068,97.25,-53,0.032154341,0.01607717,0,0.681672026,0.109324759,0
12.2,Absent,4324,119.6,2.2,31.1,11.8339726,93.26,-50,0.026229508,0,0,0.881967213,0.006557377,0
11.6,Absent,4453.5,112.1,2,31,12.18876712,99.32,-75,0,0,0,0.99009901,0.00990099,0
10.4,Absent,4453.5,112.1,2,31,12.18876712,99.32,-60,0.003236246,0,0,0.970873786,0.006472492,0
4.4,Absent,4236.65,116.3,0.8,30.4,11.58219178,100.87,-44,0.003311258,0.006622517,0,0.963576159,0.026490066,0
15.4,Absent,4423.55,112.8,1.8,31,12.10684932,101.17,-60,0.013289037,0,0,0.827242525,0.006644518,0
6.6,Absent,4423.55,112.8,1.8,31,12.10684932,101.17,-60,0.00990099,0,0.00330033,0.937293729,0,0
14.4,Absent,4236.65,116.3,0.8,30.4,11.58219178,100.87,-51,0.006666667,0,0,0.98,0,0
46.2,Absent,4887.5,100.1,4,32.1,13.36931507,100.49,-56,0.222580645,0,0.009677419,0.616129032,0,0
19.4,Absent,4808.9,103,3.3,32,13.14575342,98.38,-65,0.058064516,0,0,0.887096774,0.006451613,0
79.6,Absent,4808.9,103,3.3,32,13.14575342,98.38,-65,0.042622951,0,0,0.927868852,0.013114754,0
15.2,Absent,4808.9,103,3.3,32,13.14575342,98.38,-60,0,0,0,0.986842105,0.009868421,0
23.6,Absent,4710.3,106.7,3.3,31.7,12.89643836,108.1,-58,0.041800643,0,0,0.938906752,0,0
31.4,Absent,4613.1,111.3,3.6,31.6,12.63041096,106.55,-65,0.006472492,0,0,0.96763754,0.009708738,0
31.4,Absent,4538.8,111.2,2.5,31.2,12.41424658,103.88,-64,0,0,0,0.996794872,0.003205128,0
43.8,Absent,4538.8,111.2,2.5,31.2,12.41424658,103.88,-65,0.122977346,0,0,0.763754045,0,0
14,Absent,5285.75,98.7,6,33.3,14.4690411,119.61,-46,0.042345277,0,0,0.944625407,0.009771987,0
27.4,Absent,4943.2,102.2,4.9,32.4,13.52630137,111.15,-51,0.069767442,0,0,0.926910299,0.003322259,0
5,Absent,5261.55,96.1,5.9,33.1,14.39424658,119.85,-54,0.019354839,0,0,0.980645161,0,0
12.2,Absent,5261.55,96.1,5.9,33.1,14.39424658,119.85,-55,0.012944984,0,0,0.957928803,0,0
1.6,Absent,3036.6,152,-3.1,28.8,8.298356164,90.85,-57,0.230769231,0,0,0.743589744,0.025641026,0
3.4,Absent,3063.7,151.8,-2.9,28.9,8.389589041,89.02,-79,0,0,0,0.958466454,0.015974441,0
9.6,Absent,3794.3,132.6,-1.1,30.5,10.39534247,88.78,-62,0.019480519,0,0,0.925324675,0.012987013,0
2.4,Absent,3637.85,135.5,-1.7,29.8,9.954246575,91.77,-52,0.393548387,0,0,0.606451613,0,0
0,Present,3647,134.7,-1.4,29.5,9.979178082,91.42,-58,0.419672131,0,0,0.560655738,0.013114754,0
28.4,Absent,4063.2,132,0.6,31.2,11.11123288,95.79,-45,0.506329114,0,0,0.465189873,0,0
29,Absent,3942.9,127.9,-0.1,30.5,10.80246575,96.65,-44,0.376205788,0.01607717,0.003215434,0.324758842,0.032154341,0
45.8,Absent,3998.9,125.4,-0.2,30.3,10.94328767,92.62,-63,0,0,0,0.983443709,0.003311258,0
31,Absent,4324,119.6,2.2,31.1,11.8339726,93.26,-44,0,0,0,0.976973684,0,0
11.6,Absent,4480.85,112.8,2.4,31.4,12.25534247,98.43,-55,0.009868421,0,0,0.986842105,0,0
31,Absent,4423.55,112.8,1.8,31,12.10684932,101.17,-51,0,0,0,0.996688742,0.003311258,0
47.8,Absent,4955.6,96.9,4.1,32.2,13.56027397,102.94,-60,0,0,0,0.849840256,0.015974441,0
47.2,Absent,4710.3,106.7,3.3,31.7,12.89643836,108.1,-57,0.026490066,0,0,0.907284768,0.006622517,0
8,Absent,5285.75,98.7,6,33.3,14.4690411,119.61,-55,0,0,0,0.861736334,0.01607717,0
1,Absent,3641.2,130.8,-0.5,28.9,9.959178082,95.32,-49,0.009868421,0,0,0.835526316,0.013157895,0
0.8,Absent,3273.95,143.6,-0.9,28.4,8.952876712,92.02,-70,0.170967742,0.003225806,0,0.751612903,0.003225806,0
12.8,Absent,3728.05,131.5,-0.4,29.4,10.19287671,93.87,-81,0.006622517,0,0.006622517,0.920529801,0.009933775,0
5.4,Absent,4031.2,123.8,0.7,30.1,11.03178082,100.88,-55,0.006410256,0,0,0.990384615,0,0
0.8,Absent,3765.35,128.8,-0.1,29.3,10.29945205,94.43,-56,0.07028754,0,0,0.926517572,0.003194888,0
1.6,Absent,4005.05,124.8,0.9,30.1,10.94767123,100.86,-62,0.115755627,0,0,0.864951768,0.01607717,0
0.4,Absent,3670.1,132.2,-0.3,29.1,10.03424658,93.54,-51,0.383116883,0,0,0.61038961,0,0
4,Absent,4322.9,115.5,1.9,30.8,11.8309589,106.99,-73,0,0,0,0.931818182,0.016233766,0
1.8,Absent,3967.75,127,1.1,29.9,10.84986301,105.11,-49,0,0.006430868,0,0.926045016,0.01607717,0
13.8,Absent,4820.1,99.6,3.9,31.4,13.20164384,113.87,-63,0,0,0,0.993548387,0.003225806,0
7.8,Absent,4429.8,116.3,3.2,30.7,12.11972603,114.56,-42,0.003215434,0.003215434,0,0.967845659,0,0
2.2,Absent,4413.3,118,3.4,30.6,12.07863014,110.26,-65,0,0,0,1,0,0
3.8,Absent,4413.3,118,3.4,30.6,12.07863014,110.26,-43,0,0,0,0.983766234,0.016233766,0
19.4,Absent,5088.75,93.9,5,32.1,13.91671233,116.14,-69,0,0,0,0.974193548,0.022580645,0
20.4,Absent,3927.95,131.2,-0.2,30.8,10.74465753,91.87,-46,0.150159744,0,0,0.811501597,0.009584665,0
18.2,Absent,3939.55,129.1,-0.1,30.7,10.76821918,91.87,-49,0,0,0,0.980952381,0.019047619,0
43.8,Absent,3746.8,135.9,-0.5,30.5,10.26109589,90.63,-47,0.041935484,0,0.019354839,0.716129032,0,0
21.2,Absent,3587.85,138.3,-1.8,29.9,9.812876712,90.61,-56,0.964630225,0,0,0.032154341,0,0
36.4,Absent,3669.75,137.9,-1.1,30.5,10.04575342,88.45,-50,0.698717949,0,0,0.301282051,0,0
32,Absent,3435.1,144.4,-2.3,30.2,9.390136986,84.81,-45,0.194805195,0,0,0.792207792,0.012987013,0
7.2,Absent,3435.1,144.4,-2.3,30.2,9.390136986,84.81,-45,0.012861736,0.009646302,0.003215434,0.70096463,0.135048232,0
17.4,Absent,3176.05,148,-3.6,28.7,8.680547945,91.15,-51,0,0,0,0.98679868,0,0
7,Absent,2976.55,153.3,-4.1,29.3,8.142191781,81.14,-49,0.04620462,0,0,0.891089109,0.01650165,0
36.4,Absent,3226.5,149.5,-2.9,29.8,8.823013699,79.67,-42,0,0,0,0.979452055,0,0
8.4,Absent,2824.2,158.1,-4.6,28.8,7.724657534,83.27,-50,0,0,0,0.85,0,0
10,Absent,2719.75,158.3,-5.2,28.7,7.451506849,75.36,-47,0,0,0.010238908,0.897610922,0.003412969,0
14.2,Absent,2832.4,164.1,-3.9,30.2,7.759726027,64.69,-46,0,0,0,1,0,0
25.2,Absent,3193.1,149.9,-3.1,29.7,8.731506849,84.79,-47,0,0,0,1,0,0
106.8,Absent,4976.6,108.1,4.9,33.1,13.61342466,102.68,-54,0,0,0,0.857615894,0.013245033,0
76.4,Absent,4896.5,120.9,5.5,34.3,13.39424658,64.97,-56,0,0,0,1,0,0
74.4,Absent,5213.5,113.9,6.7,34.8,14.26684932,64.03,-70,0,0,0,1,0,0
29,Absent,4503.4,143.4,6.7,34.1,12.3169863,43.64,-52,0,0,0,1,0,0
74.4,Absent,4749.85,108.4,3.7,32,13.00493151,100.28,-44,0,0,0,1,0,0
67.4,Absent,4605.95,117.9,3.3,32.4,12.60630137,92.68,-49,0,0,0,0.989208633,0.010791367,0
127.6,Absent,4801.75,113.6,4.3,32.9,13.13041096,96.33,-51,0,0,0,1,0,0
60.2,Absent,4810.75,113.5,4.3,33.1,13.15506849,87.17,-56,0,0,0.27739726,0.404109589,0.020547945,0
116.8,Absent,4817.3,114.6,3.9,33.8,13.18136986,79,-62,0,0.010238908,0.767918089,0.204778157,0,0
32.4,Absent,4446.1,135.7,4.4,33.9,12.17260274,56.16,-82,0,0,0.347079038,0.652920962,0,0
69.6,Absent,4528.55,120.6,2.8,32.3,12.39013699,89.35,-52,0,0,0.242320819,0.757679181,0,0
122.4,Absent,4313.85,129.5,2.4,32.8,11.80191781,81.16,-60,0.026578073,0,0.086378738,0.803986711,0.006644518,0
74.6,Absent,4424.3,124.5,2.3,32.9,12.10027397,84.17,-48,0,0,0.657534247,0.339041096,0,0
75.4,Absent,4199.8,133.3,2,32.7,11.48547945,77.2,-59,0.006872852,0.013745704,0.621993127,0.223367698,0.003436426,0
125,Absent,4560.8,122.8,3.2,33.5,12.48273973,71.75,-61,0,0.048442907,0.574394464,0.339100346,0.010380623,0
64,Absent,4181.9,143.9,3.4,33.9,11.44054795,59.87,-82,0,0,0.265306122,0.023809524,0,0
37.2,Absent,4104,148.9,3.8,33.8,11.23123288,56.83,-78,0,0,0,1,0,0
59.2,Absent,5004.95,120.9,6.8,34.4,13.69972603,53.1,-91,0,0,0.337883959,0.460750853,0.160409556,0
5.8,Absent,3909.9,153,5.5,32.4,10.69945205,44.59,-110,0,0,0.195205479,0.794520548,0.006849315,0
204,Absent,4817.3,114.6,3.9,33.8,13.18136986,79,-68,0,0,0.536082474,0.4604811,0,0
0,Present,4679.8,112.7,6.1,30,12.79616438,119.9,-50,0,0,0.142372881,0.854237288,0,0
19.2,Absent,5131.8,92.5,6.3,31.6,14.04739726,126.47,-87,0,0,0.41580756,0.29209622,0,0
0,Present,4932.9,104.4,6.5,31.3,13.48958904,133.82,-51,0,0,0,0.975177305,0,0
0,Present,4797.45,109.3,6.1,30.6,13.12273973,132.03,-46,0,0,0,1,0,0
0.2,Absent,4797.45,109.3,6.1,30.6,13.12273973,132.03,-46,0,0,0.058219178,0.941780822,0,0
0.2,Absent,4738.85,114.8,5.8,30.9,12.96630137,124.43,-57,0,0,0.013605442,0.986394558,0,0
1.4,Absent,4959.35,97.7,5.6,31.4,13.55780822,127.4,-56,0.003412969,0,0.28668942,0.054607509,0,0
8.8,Absent,4976.1,97.3,5.3,31.6,13.60794521,119.47,-55,0.646496815,0,0,0,0,0
0,Present,4607.25,118,4.8,30.6,12.60164384,111.44,-43,0.961290323,0,0,0.038709677,0,0
0,Present,4607.25,118,4.8,30.6,12.60164384,111.44,-50,0.769716088,0,0,0,0,0
0.4,Absent,4626.7,114.8,4.9,30.3,12.66739726,114.52,-42,0.849056604,0,0,0,0,0
1.4,Absent,4421.95,120.6,4,30.6,12.08575342,115.03,-44,0.93015873,0,0,0.028571429,0.019047619,0
2,Absent,7282.75,16.1,15.7,32.9,19.93178082,152.74,-54,0.977707006,0,0,0.01910828,0,0
0,Present,7167.65,21.1,15.2,33.3,19.61643836,156.92,-53,0.825806452,0,0,0.038709677,0,0
2,Absent,7252.6,16.2,15.4,33,19.84109589,140.35,-99,0.770700637,0,0,0.222929936,0,0
10,Absent,6877.65,32,14.4,33.2,18.80958904,146.29,-56,0.996794872,0,0,0.003205128,0,0
2.2,Absent,6779.2,35.5,13.4,33.7,18.55260274,139.28,-63,0.987179487,0,0,0.012820513,0,0
0,Present,6924.95,28.8,14,33.4,18.95150685,151.17,-56,1,0,0,0,0,0
9.2,Absent,6550.5,48.4,12.4,33.7,17.92191781,138.47,-60,0.541139241,0,0,0.436708861,0.018987342,0
14.6,Absent,6700.15,41.4,13.3,33.5,18.33561644,142.25,-56,0,0,0.006430868,0.909967846,0.067524116,0
0,Present,6633.4,42.7,13,33.7,18.15287671,133.76,-66,0.301587302,0.203174603,0.003174603,0.336507937,0,0
0,Present,7308.6,17.1,15.9,33.1,19.99013699,154.46,-47,0,0.003164557,0,0.221518987,0,0
10,Absent,7275.3,15.8,15.6,32.9,19.90739726,149.17,-58,0.045016077,0.006430868,0,0.877813505,0,0
0,Present,6801.9,35.4,13.7,33.5,18.60191781,145.67,-53,0.003194888,0.431309904,0,0.565495208,0,0
14,Absent,6602.05,47.8,12.5,33.7,18.0630137,138.23,-41,0.080906149,0.614886731,0,0.262135922,0,0
0,Present,7495.4,9.2,16.3,32.5,20.51424658,155.56,-93,0.012820513,0.003205128,0,0.961538462,0,0
0,Present,7352.55,14.2,16.6,32.5,20.11452055,158.51,-57,0.03525641,0.179487179,0,0.782051282,0,0
9.6,Absent,6817.3,34.4,13.5,33.8,18.65287671,132.24,-59,0,0.872204473,0,0.089456869,0.038338658,0
0,Present,3499.9,145.3,2.7,27.3,9.567945205,113.29,-41,0,0,0.007874016,0.992125984,0,0
0,Present,3499.9,145.3,2.7,27.3,9.567945205,113.29,-41,0.007518797,0.056390977,0.011278195,0.481203008,0,0
0,Present,3882.3,131.3,2.9,29.2,10.62821918,101.06,-43,0,0,0,0.8125,0.0078125,0
0,Present,4118.15,121.5,2.8,29.6,11.26164384,99.49,-48,0.003937008,0,0.007874016,0.984251969,0,0
0,Present,4118.15,121.5,2.8,29.6,11.26164384,99.49,-36,0,0,0,1,0,0
0,Present,4118.15,121.5,2.8,29.6,11.26164384,99.49,-58,0.019685039,0,0.062992126,0.917322835,0,0
0,Present,4595.5,108.9,4.6,30.7,12.57780822,105.92,-67,0.146245059,0,0,0.802371542,0,0
0,Present,4595.5,108.9,4.6,30.7,12.57780822,105.92,-67,0.850318471,0.003184713,0,0.140127389,0,0
0,Present,4265.75,116.9,3.3,30.1,11.67013699,102.18,-47,0.876971609,0.003154574,0,0.113564669,0,0
0,Present,4265.75,116.9,3.3,30.1,11.67013699,102.18,-43,0.698717949,0,0,0.201923077,0.096153846,0
0,Present,4220.4,122.9,3.7,30.3,11.5460274,103.74,-33,0.39556962,0,0,0.541139241,0.025316456,0
0,Present,4220.4,122.9,3.7,30.3,11.5460274,103.74,-42,0.766561514,0,0,0.19873817,0.003154574,0
0,Present,4220.4,122.9,3.7,30.3,11.5460274,103.74,-34,0.795527157,0,0,0.044728435,0,0
0,Present,4613.6,105,4.5,30.7,12.61917808,106.47,-53,0.503205128,0,0,0.083333333,0.246794872,0
0,Present,4227.75,121.3,3.6,30.1,11.56191781,108.61,-54,0.295597484,0,0,0.119496855,0.446540881,0
0,Present,5104.4,89.9,6.7,31.1,13.96794521,108.36,125,0.625396825,0,0,0.33968254,0.031746032,0
0,Present,5104.4,89.9,6.7,31.1,13.96794521,108.36,-37,0.616129032,0,0,0.358064516,0.025806452,0
0,Present,5170.35,92.8,6.3,31.7,14.14438356,102.9,-38,0.47133758,0,0,0.47133758,0.041401274,0
